num,name,addr,publisher,recommend,star,price
81,养成良好习惯，高效管理时间,http://img3m4.ddimg.cn/85/21/27889474-1_l_2.jpg,杰米・希尔著， 刘阳晓露/关芊蔚/安捷 译,100%推荐,48685次,¥15.30
82,季羡林：留德十年,http://img3m9.ddimg.cn/96/16/28990959-1_l_3.jpg,2019-04-30 天津人民出版社,100%推荐,491次,¥27.50
83,罗力小恐龙（含二册：《我和老爸》+《我想要个宠物嘛》，250万册畅销漫画家莉兹・克里莫暖心儿童绘本）,http://img3m7.ddimg.cn/33/27/29126427-1_l_4.jpg,季羡林  著 ， 新经典  出品,100%推荐,345次,¥77.40
84,《大宋小宅门》高口碑现象级作品《长安秘案录》作者时音新作，备受瞩目热捧的高质量爆品古言。（独家番外、精美书签、高智商残疾公子VS藏匿宅门的罪臣之女，画面级的故事，给你身临其境的阅读体验！）,http://img3m2.ddimg.cn/77/6/29114492-1_l_7.jpg,2020-08-01 北京十月文艺出版社,99.7%推荐,345次,¥98.00
85,小学生看图写话1~2年级（全彩大字版）,http://img3m3.ddimg.cn/98/20/29123423-1_l_3.jpg,[美]莉兹・克里莫，译者 三三，果麦文化 出品,100%推荐,304次,¥34.90
86,投资中简单的神奇公式：十年二十倍的股票投资方法,http://img3m1.ddimg.cn/16/17/28996621-1_l_3.jpg,2020-09-01 山东文艺出版社,100%推荐,305次,¥79.00
87,白话港股投资：手把手教你投资港股,http://img3m8.ddimg.cn/31/3/29116228-1_l_3.jpg,时音,100%推荐,302次,¥34.50
88,微信朋友圈营销：9步塑造你的个人品牌,http://img3m2.ddimg.cn/33/6/28988322-1_l_9.jpg,2020-08-01 台海出版社,100%推荐,304次,¥48.30
89,晚熟的人（莫言新书）,http://img3m6.ddimg.cn/14/34/28994936-1_l_7.jpg,陈华珊,99.9%推荐,637次,¥32.50
90,固执一生 不忘天真（冯唐、路金波、笛安推荐；全网粉丝超千万的西门大嫂首部短篇集《固执一生 不忘天真》，献给每一个乘风破浪用力生活的你。）,http://img3m5.ddimg.cn/57/2/28998345-1_l_9.jpg,2020-09-03 北京大学出版社,99.9%推荐,1017次,¥45.50
91,�晗壬�：锦绣离人,http://img3m6.ddimg.cn/70/16/28987666-1_l_3.jpg,张峻恺,100%推荐,953次,¥24.50
92,【100％亲笔签名】云深清浅时（东奔西顾历时一年亲签限量“楷体”签名+冰淇淋成长卡册+处方笺+“蜻蜓”CP剧场+结婚全家福拉页+成长拉页+惊喜彩蛋＋拉链盒发货）,http://img3m6.ddimg.cn/78/25/29116176-1_l_12.jpg,2020-06-01 清华大学出版社,98.9%推荐,449次,¥34.30
93,啊2.0（新增10万字并包含旧书全文，大冰2020年作品！购书赢好礼！限量彩蛋！）,http://img3m9.ddimg.cn/97/25/28996999-1_l_14.jpg,范俊青,100%推荐,2124次,¥26.60
94,儿童简笔画入门（全2册）（培养孩子从画画开始，儿童绘画启蒙，开发多元智能）,http://img3m6.ddimg.cn/37/4/29001196-1_l_6.jpg,2020-08-01 清华大学出版社,100%推荐,256次,¥24.90
95,你当像鸟飞往你的山（比尔・盖茨年度特别推荐，登顶《纽约时报》畅销榜80 周！多一个人读到这个真实故事，就多一个人勇敢做自己！）,http://img3m2.ddimg.cn/0/27/28473192-1_l_3.jpg,庞金玲,100%推荐,6785次,¥24.90
96,云边有个小卖部（陆定昊诚挚推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,http://img3m9.ddimg.cn/77/23/25295369-1_l_20.jpg,2020-08-01 清华大学出版社,100%推荐,16569次,¥19.99
97,人间失格（日本小说家太宰治代表作，190多万条好评的现象级畅销书）,http://img3m5.ddimg.cn/56/4/23761145-1_l_6.jpg,莫言,100%推荐,21342次,¥48.10
98,我想和你虚度余生（沈万九全新暖爱言情作品集，余生有你，不枉虚度）,http://img3m0.ddimg.cn/54/32/29114370-1_l_3.jpg,2020-07-01 人民文学出版社,100%推荐,281次,¥28.00
99,活着（荣获中国版权金奖.作品奖版本，销量逾千万册）,http://img3m0.ddimg.cn/7/27/25137790-1_l_4.jpg,原来是西门大嫂，果麦文化 出品,100%推荐,44366次,¥19.80
100,五味子（中国好书《医本正经》作者懒兔子长篇中医小说）,http://img3m3.ddimg.cn/77/19/29118353-1_l_9.jpg,2020-08-01 浙江文艺出版社,99.2%推荐,245次,¥29.40
101,中华人民共和国民法典(32开压纹烫金版 附草案说明) 2020年6月新版 团购电话：4001066666转6,http://img3m9.ddimg.cn/44/7/28553129-1_l_12.jpg,法律出版社,99.9%推荐,1591次,¥8.10
102,少年读史记（套装全5册）,http://img3m1.ddimg.cn/80/1/23778791-1_l_10.jpg,2020-06-01 法律出版社,100%推荐,24694次,¥50.00
103,儿童营养大全（1~5岁儿童营养喂养手册。做孩子的私人营养师，守护孩子茁壮成长！）,http://img3m0.ddimg.cn/89/21/28987190-1_l_3.jpg,张嘉骅,100%推荐,445次,¥22.30
104,洞见（《为什么佛学是真的》中文版终得上市！樊登博士重磅推荐，万维钢做序解读，“巴菲特接班人”李录年度推荐必读好书。）,http://img3m2.ddimg.cn/54/36/28998342-1_l_9.jpg,2015-09-01 青岛出版社,99.7%推荐,301次,¥12.00
105,孩子的能力在9岁前决定（开发六大智能，轻松应对幼小衔接，幼升小不迷茫！）,http://img3m8.ddimg.cn/21/10/29000388-1_l_6.jpg,[日] 中村丁次 [日] 牧野直子 著 快读慢活 出品,100%推荐,228次,¥32.50
106,红星照耀中国  青少版 八年级上册必读 人民文学出版社 团购电话4001066666转6,http://img3m8.ddimg.cn/61/18/25100818-1_l_3.jpg,2020-08-01 江西科学技术出版社,100%推荐,18181次,¥15.99
107,欢喜：冯唐2021金句日历（全面升级！冯唐全新语录+网红老妈幽默段子，特收录冯唐24节气书法）,http://img3m3.ddimg.cn/6/24/29115213-1_l_6.jpg,罗伯特・赖特 著，宋伟 译，联合读创 出品,100%推荐,228次,¥24.50
108,古汉语常用字字典（第5版）,http://img3m9.ddimg.cn/91/34/24008779-1_l_18.jpg,2020-08-01 北京联合出版有限公司,99.9%推荐,15474次,¥12.00
109,星火英语四级考试真题备考2020年12月试卷全套资料大学cet4历年真题词汇听力阅读翻译写作单词辅导书籍专项训练,http://img3m5.ddimg.cn/35/17/28500155-1_l_14.jpg,[日] 大久保博之 著 快读慢活 出品,100%推荐,835次,¥24.80
110,正面教养,http://img3m7.ddimg.cn/93/7/28992837-1_l_3.jpg,2020-08-01 江苏凤凰文艺出版社,100%推荐,202次,¥49.00
