title,link,播放量,弹幕数,上传时间,up主
14年最垃圾的篮球游戏，蔡徐坤看了都表示想打人,//www.bilibili.com/video/BV1yb411W79R?from=search&seid=15129423064435872727,33.1万,1468,2019-03-30,肉利库
【绝活】爆肝六小时，用瓜子模仿蔡徐坤打篮球,//www.bilibili.com/video/BV137411L7uQ?from=search&seid=15129423064435872727,354.0万,6017,2020-02-12,刘能影视制片厂
蔡徐坤球技飞涨(，和豆芽一起打球，真唱跳rap篮球,//www.bilibili.com/video/BV1cA411E7L8?from=search&seid=15129423064435872727,329,1,2020-10-09,在长五厘米-
蔡徐坤到了跳舞的线世界里除了打篮球尽然还在城市里发“律师函”？———跳舞的线饭制鸡你太美40%,//www.bilibili.com/video/BV1rt411L7p9?from=search&seid=15129423064435872727,8.9万,344,2019-07-24,CIAD
蔡徐坤Rap神级现场，吴亦凡笑了：还不如我的大碗面，全靠同行衬托！,//www.bilibili.com/video/BV1sb411H7Pb?from=search&seid=15129423064435872727,174.1万,1.8万,2019-03-14,Matinquein
德鲁教父 欧文导师 美国校队蔡徐坤真正的篮球实力,//www.bilibili.com/video/BV14b411B7Qr?from=search&seid=15619401890125345128,269.5万,7978,2019-03-03,昵称有没有不重要
蔡徐坤篮球场实力爆打美国球员，最后却被曾经一起拍过广告的男人扣翻在地！！！,//www.bilibili.com/video/BV17b41177LP?from=search&seid=15619401890125345128,115.1万,1810,2019-03-23,Tracyhan
【蔡徐坤】小跳蛙,//www.bilibili.com/video/BV1y4411T7RA?from=search&seid=15619401890125345128,40.5万,2433,2019-06-09,AVA木吉
【蔡徐坤rap】什么叫光速运球啊？,//www.bilibili.com/video/BV13b411T7g5?from=search&seid=15619401890125345128,45.2万,5802,2019-04-14,青春壁咚
黑魔练习生蔡徐坤,//www.bilibili.com/video/BV1Xb41157Xs?from=search&seid=15619401890125345128,2.8万,49,2019-04-18,灯罩Dengzhao
当你潜入蔡徐坤粉丝群，竟发现全是友军!?(ﾟ〇ﾟ ;)呃!?,//www.bilibili.com/video/BV19b411u77F?from=search&seid=15619401890125345128,193.7万,4968,2019-04-09,聪明的哇也
蓝战非带队爆笑《人类一败涂地》，你就是蔡徐坤？你喜欢打篮球吗？,//www.bilibili.com/video/BV1K4411t7C6?from=search&seid=15619401890125345128,18.7万,597,2019-04-30,队霸蓝战非丶
硬汉吴京模仿蔡徐坤打球！太美,//www.bilibili.com/video/BV1o4411H7zQ?from=search&seid=15619401890125345128,186.1万,1449,2019-05-31,猫哥测评
黑子们闭嘴—蔡徐坤会扣篮，连奥尼尔都震惊了！！,//www.bilibili.com/video/BV1rb411b7Mh?from=search&seid=15619401890125345128,46.1万,457,2019-03-01,坑道友不坑贫道
【蔡徐坤】被篮球反杀的鲲鲲！,//www.bilibili.com/video/BV1Ha4y1e7vi?from=search&seid=15619401890125345128,47,0,2020-05-11,ID魔人
用乐高制作一个蔡徐坤 会唱会跳不会打篮球,//www.bilibili.com/video/BV1e4411s7Zd?from=search&seid=15619401890125345128,1.9万,101,2019-05-25,皮皮猪的乐高小屋
耗时12天，蔡徐坤打篮球动画化，十月最强新番上线！,//www.bilibili.com/video/BV1AE411d7HA?from=search&seid=15619401890125345128,38.2万,872,2019-10-13,Light小俊
