name,picture,num,star,director,introduction
狮子王 / The Lion King / 狮子王3D,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg,52,9.0,Roger Allers / 罗伯·明可夫 Rob Minkoff,动物版《哈姆雷特》。
死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,53,9.1,彼得·威尔 Peter Weir,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,54,9.1,彼得·杰克逊 Peter Jackson,承前启后的史诗篇章。
猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,55,9.0,史蒂文·斯皮尔伯格 Steven Spielberg,骗子大师和执著警探的你追我跑故事。 
钢琴家 / The Pianist / 钢琴战曲(港)  /  战地琴人(台),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg,56,9.2,罗曼·波兰斯基 Roman Polanski,音乐能化解仇恨。
窃听风暴 / Das Leben der Anderen / 窃听者(港)  /  他人的生活,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,57,9.1,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&n,别样人生。
指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,58,9.0,彼得·杰克逊 Peter Jackson,传说的开始。
黑客帝国 / The Matrix / 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,59,9.0,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,视觉革命。
美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,60,9.0,朗·霍华德 Ron Howard,爱是一切逻辑和原由。
饮食男女 / 飲食男女 / Eat Drink Man Woman,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,61,9.1,李安 Ang Lee,人生不能像做菜，把所有的料都准备好了才下锅。
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,62,9.1,Guy Ritchie,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,63,9.1,米洛斯·福尔曼 Miloš Forman,自由万岁。
